x1,x2,objective
0.655098,0.162612,-0.000000
0.118998,0.498364,-0.000000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.118998,0.523282,-0.050000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.959744,0.340386,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.585268,0.223812,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.751267,0.255095,-0.000000
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.505957,0.699077,-0.027027
0.890903,0.959291,-0.012346
0.890903,0.959291,-0.012346
0.957721,0.863362,-0.013889
0.902040,0.815398,-0.015385
0.968857,0.719469,-0.015873
0.890903,0.575575,-0.017544
0.890903,0.575575,-0.017544
0.772580,0.521615,-0.019608
0.772580,0.521615,-0.019608
0.772580,0.521615,-0.019608
0.656258,0.522739,-0.025000
0.656258,0.522739,-0.025000
0.656258,0.522739,-0.025000
0.656258,0.522739,-0.025000
0.458964,0.497094,-0.083333
0.458964,0.497094,-0.083333
0.458964,0.497094,-0.083333
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
